Index,SMILES
D119,NCCCC[C@H](NC(=O)Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)Cc1ccc2ccccc2c1)C(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)Cc1ccc2ccccc2c1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)Cc1ccc2ccccc2c1)C(=O)NCC(O)=O
D120,COC(=O)C[C@@H]1N=C(c2c(C)c(sc2-n2c(C)nnc12)C(=O)NCCOCCOCCOCCNC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1)c1ccc(Cl)cc1
D121,CN1CC2CC1CC(C2)OC(=O)C(O)(c1ccccc1)c1ccccc1
D122,Cc1cc(C)n(n1)C(=O)C1CN(C(=O)C1)c1cc(C)c(c(C)c1Cl)S(N)(=O)=O
D123,CCCCCc1cc(OC)c2cc(Cc3cccc(OC)c3)c(=O)oc2c1
D124,F[C@H]1CNC[C@@H]1Nc1cccc(n1)-c1cnc2cc(ccn12)C1CC1
D125,CC(C)C1(O)CCN(CC1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D126,COc1cccc(NC(S)=Nc2ccc(O)cc2)c1
D127,COCCNC(=O)c1cc(c(Cl)cc1NCc1ccccc1)S(N)(=O)=O
D128,Cc1cc2ncn(CC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O)c2cc1C
D129,NC(=O)c1cc(c(Cl)cc1SCCc1ccccc1)S(N)(=O)=O
D130,CCCCNC(=O)c1cc(c(Br)cc1SCCO)S(N)(=O)=O
D131,NS(=O)(=O)c1cc(C(=O)NCCO)c(Sc2ccccc2)cc1Br
D132,NS(=O)(=O)c1cc(C(=O)NCCO)c(SCc2ccccc2)cc1Cl
D133,CC(=O)OCCCNC(=O)c1cc(c(Cl)cc1Sc1ccccc1)S(N)(=O)=O
D134,NS(=O)(=O)c1ccc(Cc2c(CC3CC3)n(nc2-c2ccc(F)c(OCC3CC3(F)F)c2)-c2nc(cs2)C(O)=O)cc1F
D135,COC(=O)CCCNC(=O)c1cc(c(Cl)cc1Sc1ccccc1)S(N)(=O)=O
